TRANS_ID,ID,Amount,TransactionDate,Is_First
1,0,210.7232134,01/04/1990,YES
2,1,352.7835894,01/04/1990,YES
3,1,88.23524306,01/01/1993,NO
4,1,114.1219787,01/05/1994,NO
5,2,85.05294469,01/04/1990,YES
6,2,96.72825374,01/06/1991,NO
7,2,40.40697215,01/06/1991,NO
8,3,243.5667522,01/04/1990,YES
9,3,32.55225242,01/02/2019,NO
10,4,619.6409732,01/04/1990,YES
11,4,125.5151245,01/05/1990,NO
12,4,86.67575508,01/09/1991,NO
13,4,33.34182209,01/11/1991,NO
14,4,132.8264023,01/08/1992,NO
15,4,118.4752183,01/01/1993,NO
16,4,4.615757177,01/10/1993,NO
17,5,235.2509539,01/04/1990,YES
18,5,63.87523841,01/03/1997,NO
19,6,132.2931354,01/04/1990,YES
20,6,156.9950288,01/11/1991,NO
21,6,58.27172681,01/11/1996,NO
22,7,282.0126777,01/04/1990,YES
23,7,49.82475301,01/11/1995,NO
24,8,191.3742106,01/04/1990,YES
25,8,22.93174735,01/06/1991,NO
26,8,16.86720184,01/03/1994,NO
27,9,278.5465522,01/04/1990,YES
28,9,4.088825413,01/03/2004,NO
29,10,306.4819948,01/04/1990,YES
30,10,14.12778235,01/11/1994,NO
31,11,377.741982,01/04/1990,YES
32,11,21.88261456,01/10/1997,NO
33,12,175.899672,01/04/1990,YES
34,12,2.851098105,01/02/2005,NO
35,13,231.6451362,01/04/1990,YES
36,13,11.61641234,01/02/2003,NO
37,14,137.9423979,01/04/1990,YES
38,14,18.6725935,01/11/1992,NO
39,14,110.8103809,01/05/1995,NO
40,15,82.85592847,01/04/1990,YES
41,15,23.49407658,01/09/2010,NO
42,16,91.21356333,01/04/1990,YES
43,16,83.8053272,01/08/1991,NO
44,17,144.6586681,01/04/1990,YES
45,17,57.73186396,01/06/2006,NO
46,18,233.2413312,01/04/1990,YES
47,18,34.11930073,01/11/1990,NO
48,18,161.4444568,01/01/2011,NO
49,19,40.44426367,01/04/1990,YES
50,20,82.49342214,01/04/1990,YES
51,20,88.66325918,01/06/1991,NO
52,20,77.67455494,01/09/1995,NO
53,21,71.52886335,01/04/1990,YES
54,21,12.77868066,01/08/2018,NO
55,22,4.057142149,01/04/1990,YES
56,23,0.790930392,01/04/1990,YES
57,24,281.1507596,01/04/1990,YES
58,24,36.96241064,01/02/1998,NO
59,25,90.18398657,01/04/1990,YES
60,25,17.75554052,01/03/2004,NO
61,26,265.2098942,01/04/1990,YES
62,26,9.018406109,01/03/2004,NO
63,27,29.88889987,01/04/1990,YES
64,28,14.32842017,01/04/1990,YES
65,29,459.6681161,01/04/1990,YES
66,29,97.12521,01/06/1991,NO
67,29,31.72524937,01/01/1992,NO
68,29,25.92609821,01/10/1993,NO
69,30,14.08237411,01/04/1990,YES
70,31,0.210493978,01/04/1990,YES
71,32,360.046936,01/04/1990,YES
72,32,10.67961263,01/10/2004,NO
73,33,260.8497113,01/04/1990,YES
74,33,120.1449864,01/06/1990,NO
75,33,54.50884875,01/10/2005,NO
76,34,75.91456915,01/04/1990,YES
77,34,33.08073639,01/05/1999,NO
78,35,91.45309427,01/04/1990,YES
79,35,14.33781556,01/09/1990,NO
80,35,89.84057286,01/01/1990,NO
81,35,90.48188814,01/08/2017,NO
82,36,154.5214517,01/04/1990,YES
83,37,108.4057874,01/04/1990,YES
84,37,41.2368038,01/05/2013,NO
85,38,175.5762871,01/04/1990,YES
86,38,89.24953948,01/10/1990,NO
87,38,34.69824064,01/08/2010,NO
88,39,481.7522005,01/04/1990,YES
89,39,17.00002011,01/03/1990,NO
90,39,95.08297353,01/06/1990,NO
91,39,100.8331962,01/03/1991,NO
92,39,8.194900082,01/09/1992,NO
93,39,105.0892993,01/03/2000,NO
94,40,70.85433461,01/04/1990,YES
95,40,29.04510352,01/02/2004,NO
96,41,36.83041883,01/04/1990,YES
97,42,48.05688503,01/04/1990,YES
98,43,131.6572592,01/04/1990,YES
99,43,35.42082325,01/12/1994,NO
100,44,273.7189204,01/04/1990,YES
101,44,12.03778566,01/08/2006,NO
102,45,359.1531668,01/04/1990,YES
103,45,64.49232695,01/05/1990,NO
104,45,13.24972282,01/05/1991,NO
105,45,29.83477188,01/01/1995,NO
106,46,158.4999199,01/04/1990,YES
107,46,97.64655126,01/05/1995,NO
108,47,31.38186854,01/04/1990,YES
109,48,179.2680359,01/04/1990,YES
110,48,150.9841687,01/05/1994,NO
111,49,42.07861635,01/04/1990,YES
112,50,462.888027,01/04/1990,YES
113,50,36.02505981,01/05/1991,NO
114,50,47.22840227,01/01/1991,NO
115,50,118.7953654,01/01/1992,NO
116,50,13.67902064,01/03/1993,NO
117,50,45.9491451,01/07/1993,NO
118,51,243.01592,01/04/1990,YES
119,51,49.89545717,01/09/1992,NO
120,51,129.5708547,01/10/2000,NO
121,52,53.81761691,01/04/1990,YES
122,52,48.08376732,01/05/2009,NO
123,53,231.5505306,01/04/1990,YES
124,54,354.2332158,01/04/1990,YES
125,54,37.1391018,01/06/1990,NO
126,54,82.97655173,01/06/1992,NO
127,54,79.83842436,01/10/1996,NO
128,55,79.5942409,01/04/1990,YES
129,55,75.10897398,01/11/2006,NO
130,56,153.6290972,01/04/1990,YES
131,57,198.1416878,01/04/1990,YES
132,57,4.725696951,01/01/2001,NO
133,58,36.14704273,01/04/1990,YES
134,59,5.507374124,01/04/1990,YES
135,60,464.5897779,01/04/1990,YES
136,60,150.9540696,01/09/1991,NO
137,60,177.2653871,01/11/1991,NO
138,60,5.362448255,01/03/1992,NO
139,60,56.60781584,01/05/1993,NO
140,61,751.8379963,01/04/1990,YES
141,61,32.37158093,01/05/1990,NO
142,61,36.78699195,01/11/1991,NO
143,61,70.97791932,01/12/1993,NO
144,62,152.6002736,01/04/1990,YES
145,62,10.30502236,01/11/2017,NO
146,63,254.3901023,01/04/1990,YES
147,63,71.45936017,01/10/1990,NO
148,63,5.179969505,01/01/2002,NO
149,64,220.0297457,01/04/1990,YES
150,64,40.56332395,01/02/1992,NO
151,64,59.89273425,01/08/1998,NO
152,65,149.2713519,01/04/1990,YES
153,65,88.14857499,01/02/2006,NO
154,66,242.9859936,01/04/1990,YES
155,66,72.23397914,01/09/1992,NO
156,66,1.228112094,01/01/2000,NO
157,67,90.48647263,01/04/1990,YES
158,67,38.47535854,01/09/1990,NO
159,67,98.56649001,01/05/2021,NO
160,68,323.5484835,01/04/1990,YES
161,68,100.5442788,01/08/1992,NO
162,68,38.30045497,01/10/1992,NO
163,68,45.66373627,01/05/1992,NO
164,68,24.26837959,01/05/1994,NO
165,69,235.9230484,01/04/1990,YES
166,69,99.52182807,01/05/1995,NO
167,70,185.0804509,01/04/1990,YES
168,70,33.41721604,01/08/1996,NO
169,71,97.87840238,01/04/1990,YES
170,71,5.541230575,01/03/1992,NO
171,71,18.91344924,01/01/1997,NO
172,72,87.3039306,01/04/1990,YES
173,72,86.1323662,01/06/2003,NO
174,73,226.450215,01/04/1990,YES
175,73,52.48271211,01/01/2010,NO
176,74,74.74886776,01/04/1990,YES
177,74,89.94109109,01/01/1994,NO
178,75,181.0703189,01/04/1990,YES
179,75,110.8506476,01/03/1997,NO
180,76,13.30801706,01/04/1990,YES
181,77,299.5158106,01/04/1990,YES
182,77,115.6046223,01/05/1994,NO
183,78,285.8747319,01/04/1990,YES
